 voicetext_paul.  112937 [006] 42891.639987:          1  branches:u:          10065226 [unknown] (/samples/vt_pau.dll) =>         1006525f [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42891.639987:          1  branches:u:          10065266 [unknown] (/samples/vt_pau.dll) =>         7bd3b286 [unknown] (/usr/lib/i386-linux-gnu/wine/i386-windows/ntdll.dll)
 voicetext_paul.  112937 [006] 42895.288617:          1  branches:u:          1002a6f4 [unknown] (/samples/vt_pau.dll) =>         10024cc0 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288617:          1  branches:u:          10024cc5 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42895.288618:          1  branches:u:          1002a6f4 [unknown] (/samples/vt_pau.dll) =>         10024cc0 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288621:          1  branches:u:          1002a6f4 [unknown] (/samples/vt_pau.dll) =>         10024cc0 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288621:          1  branches:u:          10024cc5 [unknown] (/samples/vt_pau.dll) =>                0 [unknown] ([unknown])
 voicetext_paul.  112937 [006] 42895.288622:          1  branches:u:          1002a6f4 [unknown] (/samples/vt_pau.dll) =>         10024cc0 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288624:          1  branches:u:          1002a704 [unknown] (/samples/vt_pau.dll) =>         1002a712 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288624:          1  branches:u:          1002a726 [unknown] (/samples/vt_pau.dll) =>         1002a86b [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288624:          1  branches:u:          1002a87a [unknown] (/samples/vt_pau.dll) =>           4015f2 [unknown] (/tmp/perf-112937.map)
